# 01_contexto/ctx01_variavel_tipada.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
3	10	114	140	FunctionExpression	void Function()	-	0	() { List<num> a = /*@*/[1, 2]; Iterable<Object> b = /*@
4	22	140	6	ListLiteral	List<num>	-	1	[1, 2]
4	23	141	1	IntegerLiteral	int	-	0	1
4	26	144	1	IntegerLiteral	int	-	0	2
5	29	176	3	SetOrMapLiteral	Set<Object>	-	1	{1}
5	30	177	1	IntegerLiteral	int	-	0	1
6	16	196	6	ListLiteral	List<int>	-	1	[1, 2]
6	17	197	1	IntegerLiteral	int	-	0	1
6	20	200	1	IntegerLiteral	int	-	0	2
7	18	221	7	SetOrMapLiteral	Set<int>	-	1	<int>{}
8	3	232	19	MethodInvocation	void	FUNCTION:print	0	print([a, b, c, d])
8	3	232	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
8	9	238	12	ListLiteral	List<Iterable<Object>>	-	0	[a, b, c, d]
8	10	239	1	SimpleIdentifier	List<num>	LOCAL_VARIABLE:main.a	0	a
8	13	242	1	SimpleIdentifier	Iterable<Object>	LOCAL_VARIABLE:main.b	0	b
8	16	245	1	SimpleIdentifier	List<int>	LOCAL_VARIABLE:main.c	0	c
8	19	248	1	SimpleIdentifier	Set<int>	LOCAL_VARIABLE:main.d	0	d
