# 01_contexto/ctx07_await.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	18	88	157	FunctionExpression	Future<void> Function()	-	0	() async { List<num> a = await /*@*/Future.value([1]); v
3	17	115	28	AwaitExpression	List<num>	-	0	await /*@*/Future.value([1])
3	28	126	17	InstanceCreationExpression	Future<List<num>>	CONSTRUCTOR:Future.value	1	Future.value([1])
3	35	133	5	SimpleIdentifier	-	CONSTRUCTOR:Future.value	0	value
3	41	139	3	ListLiteral	List<num>	-	0	[1]
3	42	140	1	IntegerLiteral	int	-	0	1
4	16	160	21	AwaitExpression	int	-	1	await Future.value(1)
4	22	166	15	InstanceCreationExpression	Future<int>	CONSTRUCTOR:Future.value	0	Future.value(1)
4	29	173	5	SimpleIdentifier	-	CONSTRUCTOR:Future.value	0	value
4	35	179	1	IntegerLiteral	int	-	0	1
5	14	196	26	AwaitExpression	double	-	0	await /*@*/Future.value(1)
5	25	207	15	InstanceCreationExpression	Future<double>	CONSTRUCTOR:Future.value	1	Future.value(1)
5	32	214	5	SimpleIdentifier	-	CONSTRUCTOR:Future.value	0	value
5	38	220	1	IntegerLiteral	double	-	0	1
6	3	226	16	MethodInvocation	void	FUNCTION:print	0	print([a, b, c])
6	3	226	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
6	9	232	9	ListLiteral	List<Object>	-	0	[a, b, c]
6	10	233	1	SimpleIdentifier	List<num>	LOCAL_VARIABLE:main.a	0	a
6	13	236	1	SimpleIdentifier	int	LOCAL_VARIABLE:main.b	0	b
6	16	239	1	SimpleIdentifier	double	LOCAL_VARIABLE:main.c	0	c
