# 01_contexto/ctx10_topo_campo.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
3	13	146	8	ListLiteral	List<num>	-	0	[1, 2.5]
3	14	147	1	IntegerLiteral	int	-	0	1
3	17	150	3	DoubleLiteral	double	-	0	2.5
4	14	169	8	SetOrMapLiteral	Map<String, int>	-	0	{'a': 1}
4	15	170	3	SimpleStringLiteral	String	-	0	'a'
4	20	175	1	IntegerLiteral	int	-	0	1
12	17	281	10	ListLiteral	List<String>	-	0	<String>[]
13	20	312	1	SimpleIdentifier	int	PARAMETER:valor.x	1	x
14	21	335	3	ListLiteral	List<num>	-	1	[1]
14	22	336	1	IntegerLiteral	int	-	0	1
17	10	352	91	FunctionExpression	void Function()	-	0	() { print([/*@*/lista, /*@*/mapa, /*@*/B().campo, /*@*/B(
18	3	359	81	MethodInvocation	void	FUNCTION:print	0	print([/*@*/lista, /*@*/mapa, /*@*/B().campo, /*@*/B().valor
18	3	359	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
18	9	365	74	ListLiteral	List<Object>	-	0	[/*@*/lista, /*@*/mapa, /*@*/B().campo, /*@*/B().valor(1), /
18	15	371	5	SimpleIdentifier	List<num>	GETTER:lista	1	lista
18	27	383	4	SimpleIdentifier	Map<String, int>	GETTER:mapa	1	mapa
18	38	394	9	PropertyAccess	List<String>	GETTER:B.campo	1	B().campo
18	38	394	3	InstanceCreationExpression	B	CONSTRUCTOR:B.	1	B()
18	42	398	5	SimpleIdentifier	List<String>	GETTER:B.campo	0	campo
18	54	410	12	MethodInvocation	num	METHOD:B.valor	1	B().valor(1)
18	54	410	3	InstanceCreationExpression	B	CONSTRUCTOR:B.	1	B()
18	58	414	5	SimpleIdentifier	num Function(int)	METHOD:B.valor	0	valor
18	64	420	1	IntegerLiteral	int	-	0	1
18	73	429	9	PropertyAccess	List<num>	GETTER:B.itens	1	B().itens
18	73	429	3	InstanceCreationExpression	B	CONSTRUCTOR:B.	1	B()
18	77	433	5	SimpleIdentifier	List<num>	GETTER:B.itens	0	itens
