# 02_genericos/gen01_para_cima.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
3	5	147	14	FunctionExpression	T Function<T>(T)	-	0	<T>(T x) => x;
3	17	159	1	SimpleIdentifier	T	PARAMETER:id.x	0	x
4	10	171	102	FunctionExpression	void Function()	-	0	() { var a = /*@*/id(1); var b = /*@*/id([1, 2.5]); va
5	16	191	5	MethodInvocation	int	FUNCTION:id	1	id(1)
5	16	191	2	SimpleIdentifier	T Function<T>(T)	FUNCTION:id	1	id
5	19	194	1	IntegerLiteral	int	-	0	1
6	16	213	12	MethodInvocation	List<num>	FUNCTION:id	1	id([1, 2.5])
6	16	213	2	SimpleIdentifier	T Function<T>(T)	FUNCTION:id	1	id
6	19	216	8	ListLiteral	List<num>	-	0	[1, 2.5]
6	20	217	1	IntegerLiteral	int	-	0	1
6	23	220	3	DoubleLiteral	double	-	0	2.5
7	16	242	8	MethodInvocation	Null	FUNCTION:id	1	id(null)
7	16	242	2	SimpleIdentifier	T Function<T>(T)	FUNCTION:id	1	id
7	19	245	4	NullLiteral	Null	-	0	null
8	3	254	16	MethodInvocation	void	FUNCTION:print	0	print([a, b, c])
8	3	254	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
8	9	260	9	ListLiteral	List<dynamic>	-	0	[a, b, c]
8	10	261	1	SimpleIdentifier	int	LOCAL_VARIABLE:main.a	0	a
8	13	264	1	SimpleIdentifier	List<num>	LOCAL_VARIABLE:main.b	0	b
8	16	267	1	SimpleIdentifier	dynamic	LOCAL_VARIABLE:main.c	0	c
