# 02_genericos/gen12_horizontal_ordem.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
3	4	149	30	FunctionExpression	T Function<T>(T Function(), T)	-	0	<T>(T Function() a, T b) => b;
3	32	177	1	SimpleIdentifier	T	PARAMETER:f.b	0	b
4	4	183	51	FunctionExpression	U Function<T, U>(U Function(T), T Function())	-	0	<T, U>(U Function(T) a, T Function() b) => throw 0;
4	47	226	7	ThrowExpression	Never	-	0	throw 0
4	53	232	1	IntegerLiteral	int	-	0	0
5	10	244	148	FunctionExpression	void Function()	-	0	() { var r = /*@*/f(() => [], <int>[]); var s = /*@*/g((
6	16	264	20	MethodInvocation	List<dynamic>	FUNCTION:f	1	f(() => [], <int>[])
6	16	264	1	SimpleIdentifier	T Function<T>(T Function(), T)	FUNCTION:f	1	f
6	18	266	8	FunctionExpression	List<dynamic> Function()	-	0	() => []
6	24	272	2	ListLiteral	List<dynamic>	-	0	[]
6	28	276	7	ListLiteral	List<int>	-	0	<int>[]
7	16	301	34	MethodInvocation	bool	FUNCTION:g	1	g((x) => (/*@*/x).isEven, () => 1)
7	16	301	1	SimpleIdentifier	U Function<T, U>(U Function(T), T Function())	FUNCTION:g	1	g
7	18	303	22	FunctionExpression	bool Function(int)	-	0	(x) => (/*@*/x).isEven
7	25	310	15	PropertyAccess	bool	GETTER:int.isEven	0	(/*@*/x).isEven
7	25	310	8	ParenthesizedExpression	int	-	0	(/*@*/x)
7	31	316	1	SimpleIdentifier	int	PARAMETER:.x	1	x
7	34	319	6	SimpleIdentifier	bool	GETTER:int.isEven	0	isEven
7	42	327	7	FunctionExpression	int Function()	-	0	() => 1
7	48	333	1	IntegerLiteral	int	-	0	1
8	16	352	17	MethodInvocation	num	FUNCTION:f	1	f((() => 1), 2.5)
8	16	352	1	SimpleIdentifier	T Function<T>(T Function(), T)	FUNCTION:f	1	f
8	18	354	9	ParenthesizedExpression	int Function()	-	0	(() => 1)
8	19	355	7	FunctionExpression	int Function()	-	0	() => 1
8	25	361	1	IntegerLiteral	int	-	0	1
8	29	365	3	DoubleLiteral	double	-	0	2.5
9	3	373	16	MethodInvocation	void	FUNCTION:print	0	print([r, s, t])
9	3	373	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
9	9	379	9	ListLiteral	List<Object>	-	0	[r, s, t]
9	10	380	1	SimpleIdentifier	List<dynamic>	LOCAL_VARIABLE:main.r	0	r
9	13	383	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.s	0	s
9	16	386	1	SimpleIdentifier	num	LOCAL_VARIABLE:main.t	0	t
