# 03_literais/lit01_int_double.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
5	10	134	246	FunctionExpression	void Function()	-	0	() { double a = /*@*/1; double? b = /*@*/2; num c = /*
6	19	157	1	IntegerLiteral	double	-	1	1
7	20	179	1	IntegerLiteral	double	-	1	2
8	16	197	1	IntegerLiteral	int	-	1	3
9	19	218	1	IntegerLiteral	int	-	1	4
10	29	249	1	IntegerLiteral	double	-	1	5
11	16	267	4	IntegerLiteral	int	-	1	0x10
12	19	291	4	IntegerLiteral	double	-	1	0x10
13	20	316	1	IntegerLiteral	int	-	1	6
14	19	337	2	PrefixExpression	double	-	1	-7
14	20	338	1	IntegerLiteral	double	-	0	7
15	3	343	34	MethodInvocation	void	FUNCTION:print	0	print([a, b, c, d, e, f, g, h, i])
15	3	343	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
15	9	349	27	ListLiteral	List<dynamic>	-	0	[a, b, c, d, e, f, g, h, i]
15	10	350	1	SimpleIdentifier	double	LOCAL_VARIABLE:main.a	0	a
15	13	353	1	SimpleIdentifier	double	LOCAL_VARIABLE:main.b	0	b
15	16	356	1	SimpleIdentifier	num	LOCAL_VARIABLE:main.c	0	c
15	19	359	1	SimpleIdentifier	Object	LOCAL_VARIABLE:main.d	0	d
15	22	362	1	SimpleIdentifier	FutureOr<double>	LOCAL_VARIABLE:main.e	0	e
15	25	365	1	SimpleIdentifier	int	LOCAL_VARIABLE:main.f	0	f
15	28	368	1	SimpleIdentifier	double	LOCAL_VARIABLE:main.g	0	g
15	31	371	1	SimpleIdentifier	dynamic	LOCAL_VARIABLE:main.h	0	h
15	34	374	1	SimpleIdentifier	double	LOCAL_VARIABLE:main.i	0	i
