# 03_literais/lit02_lista.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	10	76	265	FunctionExpression	void Function()	-	0	() { var a = /*@*/[]; var b = /*@*/[1, 2.5]; var c = /
3	16	96	2	ListLiteral	List<dynamic>	-	1	[]
4	16	115	8	ListLiteral	List<num>	-	1	[1, 2.5]
4	17	116	1	IntegerLiteral	int	-	0	1
4	20	119	3	DoubleLiteral	double	-	0	2.5
5	16	140	9	ListLiteral	List<int?>	-	1	[1, null]
5	17	141	1	IntegerLiteral	int	-	0	1
5	20	144	4	NullLiteral	Null	-	0	null
6	16	166	13	ListLiteral	List<num>	-	1	<num>[/*@*/1]
6	27	177	1	IntegerLiteral	int	-	1	1
7	26	206	3	ListLiteral	List<Object?>	-	1	[1]
7	27	207	1	IntegerLiteral	int	-	0	1
8	25	235	8	ListLiteral	List<double>	-	1	[/*@*/1]
8	31	241	1	IntegerLiteral	double	-	1	1
9	16	260	12	ListLiteral	List<List<num>>	-	1	[[1], [2.5]]
9	17	261	3	ListLiteral	List<int>	-	0	[1]
9	18	262	1	IntegerLiteral	int	-	0	1
9	22	266	5	ListLiteral	List<double>	-	0	[2.5]
9	23	267	3	DoubleLiteral	double	-	0	2.5
10	16	289	14	ListLiteral	List<Object>	-	1	const [1, 'a']
10	23	296	1	IntegerLiteral	int	-	0	1
10	26	299	3	SimpleStringLiteral	String	-	0	'a'
11	3	307	31	MethodInvocation	void	FUNCTION:print	0	print([a, b, c, d, e, f, g, h])
11	3	307	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
11	9	313	24	ListLiteral	List<List<Object?>>	-	0	[a, b, c, d, e, f, g, h]
11	10	314	1	SimpleIdentifier	List<dynamic>	LOCAL_VARIABLE:main.a	0	a
11	13	317	1	SimpleIdentifier	List<num>	LOCAL_VARIABLE:main.b	0	b
11	16	320	1	SimpleIdentifier	List<int?>	LOCAL_VARIABLE:main.c	0	c
11	19	323	1	SimpleIdentifier	List<num>	LOCAL_VARIABLE:main.d	0	d
11	22	326	1	SimpleIdentifier	List<Object?>	LOCAL_VARIABLE:main.e	0	e
11	25	329	1	SimpleIdentifier	List<double>	LOCAL_VARIABLE:main.f	0	f
11	28	332	1	SimpleIdentifier	List<List<num>>	LOCAL_VARIABLE:main.g	0	g
11	31	335	1	SimpleIdentifier	List<Object>	LOCAL_VARIABLE:main.h	0	h
