# 03_literais/lit04_spread_if_for.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	10	75	456	FunctionExpression	void Function(List<String>)	-	0	(List<String> args) { var l = [1]; List<double>? n = arg
3	11	107	3	ListLiteral	List<int>	-	0	[1]
3	12	108	1	IntegerLiteral	int	-	0	1
4	21	132	24	ConditionalExpression	List<double>?	-	0	args.isEmpty ? null : []
4	21	132	12	PrefixedIdentifier	bool	GETTER:Iterable.isEmpty	0	args.isEmpty
4	21	132	4	SimpleIdentifier	List<String>	PARAMETER:main.args	0	args
4	26	137	7	SimpleIdentifier	bool	GETTER:Iterable.isEmpty	0	isEmpty
4	36	147	4	NullLiteral	Null	-	0	null
4	43	154	2	ListLiteral	List<double>	-	0	[]
5	16	173	13	ListLiteral	List<num>	-	1	[...l, ...?n]
5	20	177	1	SimpleIdentifier	List<int>	LOCAL_VARIABLE:main.l	0	l
5	27	184	1	SimpleIdentifier	List<double>?	LOCAL_VARIABLE:main.n	0	n
6	16	203	27	ListLiteral	List<num>	-	1	[if (l.isEmpty) 1 else 2.5]
6	21	208	9	PrefixedIdentifier	bool	GETTER:Iterable.isEmpty	0	l.isEmpty
6	21	208	1	SimpleIdentifier	List<int>	LOCAL_VARIABLE:main.l	0	l
6	23	210	7	SimpleIdentifier	bool	GETTER:Iterable.isEmpty	0	isEmpty
6	32	219	1	IntegerLiteral	int	-	0	1
6	39	226	3	DoubleLiteral	double	-	0	2.5
7	16	247	31	ListLiteral	List<String>	-	1	[for (var i in l) i.toString()]
7	31	262	1	SimpleIdentifier	List<int>	LOCAL_VARIABLE:main.l	0	l
7	34	265	12	MethodInvocation	String	METHOD:int.toString	0	i.toString()
7	34	265	1	SimpleIdentifier	int	LOCAL_VARIABLE:c.i	0	i
7	36	267	8	SimpleIdentifier	String Function()	METHOD:int.toString	0	toString
8	16	295	30	SetOrMapLiteral	Map<int, bool>	-	1	{for (var i in l) i: i.isEven}
8	31	310	1	SimpleIdentifier	List<int>	LOCAL_VARIABLE:main.l	0	l
8	34	313	1	SimpleIdentifier	int	LOCAL_VARIABLE:d.i	0	i
8	37	316	8	PrefixedIdentifier	bool	GETTER:int.isEven	0	i.isEven
8	37	316	1	SimpleIdentifier	int	LOCAL_VARIABLE:d.i	0	i
8	39	318	6	SimpleIdentifier	bool	GETTER:int.isEven	0	isEven
9	16	342	38	ListLiteral	List<int>	-	1	[for (var i = 0; i < 3; i++) (/*@*/i)]
9	30	356	1	IntegerLiteral	int	-	0	0
9	33	359	5	BinaryExpression	bool	METHOD:num.<	0	i < 3
9	33	359	1	SimpleIdentifier	int	LOCAL_VARIABLE:e.i	0	i
9	37	363	1	IntegerLiteral	int	-	0	3
9	40	366	3	PostfixExpression	int	-	0	i++
9	40	366	1	SimpleIdentifier	-	LOCAL_VARIABLE:e.i	0	i
9	45	371	8	ParenthesizedExpression	int	-	0	(/*@*/i)
9	51	377	1	SimpleIdentifier	int	LOCAL_VARIABLE:e.i	1	i
10	16	397	23	ListLiteral	List<String>	-	1	[if (args.isEmpty) 'a']
10	21	402	12	PrefixedIdentifier	bool	GETTER:Iterable.isEmpty	0	args.isEmpty
10	21	402	4	SimpleIdentifier	List<String>	PARAMETER:main.args	0	args
10	26	407	7	SimpleIdentifier	bool	GETTER:Iterable.isEmpty	0	isEmpty
10	35	416	3	SimpleStringLiteral	String	-	0	'a'
11	16	437	26	SetOrMapLiteral	Map<int, String>	-	1	{if (args.isEmpty) 1: 'a'}
11	21	442	12	PrefixedIdentifier	bool	GETTER:Iterable.isEmpty	0	args.isEmpty
11	21	442	4	SimpleIdentifier	List<String>	PARAMETER:main.args	0	args
11	26	447	7	SimpleIdentifier	bool	GETTER:Iterable.isEmpty	0	isEmpty
11	35	456	1	IntegerLiteral	int	-	0	1
11	38	459	3	SimpleStringLiteral	String	-	0	'a'
12	16	480	13	SetOrMapLiteral	Set<int>	-	1	{...?null, 1}
12	21	485	4	NullLiteral	Null	-	0	null
12	27	491	1	IntegerLiteral	int	-	0	1
13	3	497	31	MethodInvocation	void	FUNCTION:print	0	print([a, b, c, d, e, f, g, h])
13	3	497	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
13	9	503	24	ListLiteral	List<Object>	-	0	[a, b, c, d, e, f, g, h]
13	10	504	1	SimpleIdentifier	List<num>	LOCAL_VARIABLE:main.a	0	a
13	13	507	1	SimpleIdentifier	List<num>	LOCAL_VARIABLE:main.b	0	b
13	16	510	1	SimpleIdentifier	List<String>	LOCAL_VARIABLE:main.c	0	c
13	19	513	1	SimpleIdentifier	Map<int, bool>	LOCAL_VARIABLE:main.d	0	d
13	22	516	1	SimpleIdentifier	List<int>	LOCAL_VARIABLE:main.e	0	e
13	25	519	1	SimpleIdentifier	List<String>	LOCAL_VARIABLE:main.f	0	f
13	28	522	1	SimpleIdentifier	Map<int, String>	LOCAL_VARIABLE:main.g	0	g
13	31	525	1	SimpleIdentifier	Set<int>	LOCAL_VARIABLE:main.h	0	h
