# 04_up_down/up02_nulos_topo.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	10	65	366	FunctionExpression	void Function(List<String>)	-	0	(List<String> args) { var b = args.isEmpty; int? n = b ?
3	11	97	12	PrefixedIdentifier	bool	GETTER:Iterable.isEmpty	0	args.isEmpty
3	11	97	4	SimpleIdentifier	List<String>	PARAMETER:main.args	0	args
3	16	102	7	SimpleIdentifier	bool	GETTER:Iterable.isEmpty	0	isEmpty
4	12	122	12	ConditionalExpression	int?	-	0	b ? null : 1
4	12	122	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	0	b
4	16	126	4	NullLiteral	Null	-	0	null
4	23	133	1	IntegerLiteral	int	-	0	1
5	15	150	1	IntegerLiteral	int	-	0	1
6	15	167	1	IntegerLiteral	int	-	0	1
7	16	185	12	ConditionalExpression	int?	-	1	b ? 1 : null
7	16	185	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	1	b
7	20	189	1	IntegerLiteral	int	-	0	1
7	24	193	4	NullLiteral	Null	-	0	null
8	16	214	15	ConditionalExpression	Null	-	1	b ? null : null
8	16	214	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	1	b
8	20	218	4	NullLiteral	Null	-	0	null
8	27	225	4	NullLiteral	Null	-	0	null
9	16	246	9	ConditionalExpression	int?	-	1	b ? 1 : n
9	16	246	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	1	b
9	20	250	1	IntegerLiteral	int	-	0	1
9	24	254	1	SimpleIdentifier	int?	LOCAL_VARIABLE:main.n	0	n
10	16	272	9	ConditionalExpression	dynamic	-	1	b ? 1 : d
10	16	272	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	1	b
10	20	276	1	IntegerLiteral	int	-	0	1
10	24	280	1	SimpleIdentifier	dynamic	LOCAL_VARIABLE:main.d	0	d
11	16	298	9	ConditionalExpression	dynamic	-	1	b ? o : d
11	16	298	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	1	b
11	20	302	1	SimpleIdentifier	Object	LOCAL_VARIABLE:main.o	0	o
11	24	306	1	SimpleIdentifier	dynamic	LOCAL_VARIABLE:main.d	0	d
12	16	324	9	ConditionalExpression	Object	-	1	b ? 1 : o
12	16	324	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	1	b
12	20	328	1	IntegerLiteral	int	-	0	1
12	24	332	1	SimpleIdentifier	Object	LOCAL_VARIABLE:main.o	0	o
13	16	350	15	ConditionalExpression	int	-	1	b ? 1 : throw 0
13	16	350	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	1	b
13	20	354	1	IntegerLiteral	int	-	0	1
13	24	358	7	ThrowExpression	Never	-	0	throw 0
13	30	364	1	IntegerLiteral	int	-	0	0
14	16	382	11	ConditionalExpression	Object?	-	1	b ? 'a' : n
14	16	382	1	SimpleIdentifier	bool	LOCAL_VARIABLE:main.b	1	b
14	20	386	3	SimpleStringLiteral	String	-	0	'a'
14	26	392	1	SimpleIdentifier	int?	LOCAL_VARIABLE:main.n	0	n
15	3	397	31	MethodInvocation	void	FUNCTION:print	0	print([p, q, r, s, t, u, v, w])
15	3	397	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
15	9	403	24	ListLiteral	List<dynamic>	-	0	[p, q, r, s, t, u, v, w]
15	10	404	1	SimpleIdentifier	int?	LOCAL_VARIABLE:main.p	0	p
15	13	407	1	SimpleIdentifier	dynamic	LOCAL_VARIABLE:main.q	0	q
15	16	410	1	SimpleIdentifier	int?	LOCAL_VARIABLE:main.r	0	r
15	19	413	1	SimpleIdentifier	dynamic	LOCAL_VARIABLE:main.s	0	s
15	22	416	1	SimpleIdentifier	dynamic	LOCAL_VARIABLE:main.t	0	t
15	25	419	1	SimpleIdentifier	Object	LOCAL_VARIABLE:main.u	0	u
15	28	422	1	SimpleIdentifier	int	LOCAL_VARIABLE:main.v	0	v
15	31	425	1	SimpleIdentifier	Object?	LOCAL_VARIABLE:main.w	0	w
