# 05_closures/clo03_async.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	10	63	262	FunctionExpression	void Function()	-	0	() { var a = /*@*/() async => 1; var b = /*@*/() async {
3	16	83	13	FunctionExpression	Future<int> Function()	-	1	() async => 1
3	28	95	1	IntegerLiteral	int	-	0	1
4	16	113	11	FunctionExpression	Future<Null> Function()	-	1	() async {}
5	16	141	27	FunctionExpression	Future<int> Function()	-	1	() async => Future.value(1)
5	28	153	15	InstanceCreationExpression	Future<int>	CONSTRUCTOR:Future.value	0	Future.value(1)
5	35	160	5	SimpleIdentifier	-	CONSTRUCTOR:Future.value	0	value
5	41	166	1	IntegerLiteral	int	-	0	1
6	35	204	13	FunctionExpression	Future<int> Function()	-	1	() async => 1
6	47	216	1	IntegerLiteral	int	-	0	1
7	16	234	26	FunctionExpression	Future<Null> Function()	-	1	() async { return; }
10	16	277	16	FunctionExpression	Future<Null> Function()	-	1	() async => null
10	28	289	4	NullLiteral	Null	-	0	null
11	3	297	25	MethodInvocation	void	FUNCTION:print	0	print([a, b, c, d, e, f])
11	3	297	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
11	9	303	18	ListLiteral	List<Future<num?> Function()>	-	0	[a, b, c, d, e, f]
11	10	304	1	SimpleIdentifier	Future<int> Function()	LOCAL_VARIABLE:main.a	0	a
11	13	307	1	SimpleIdentifier	Future<Null> Function()	LOCAL_VARIABLE:main.b	0	b
11	16	310	1	SimpleIdentifier	Future<int> Function()	LOCAL_VARIABLE:main.c	0	c
11	19	313	1	SimpleIdentifier	Future<num> Function()	LOCAL_VARIABLE:main.d	0	d
11	22	316	1	SimpleIdentifier	Future<Null> Function()	LOCAL_VARIABLE:main.e	0	e
11	25	319	1	SimpleIdentifier	Future<Null> Function()	LOCAL_VARIABLE:main.f	0	f
