# 06_fluxo/flu06_declaracao.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
3	7	142	199	FunctionExpression	void Function<T>(T)	-	0	<T>(T t) { var a; a = 1; print(/*@*/a); num b = 1;
5	3	164	5	AssignmentExpression	int	LOCAL_VARIABLE:f.a	0	a = 1
5	3	164	1	SimpleIdentifier	-	LOCAL_VARIABLE:f.a	0	a
5	7	168	1	IntegerLiteral	int	-	0	1
6	3	173	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/a)
6	3	173	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
6	14	184	1	SimpleIdentifier	dynamic	LOCAL_VARIABLE:f.a	1	a
7	11	198	1	IntegerLiteral	int	-	0	1
8	3	203	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/b)
8	3	203	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
8	14	214	1	SimpleIdentifier	num	LOCAL_VARIABLE:f.b	1	b
9	12	229	1	IntegerLiteral	int	-	0	1
10	3	234	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/c)
10	3	234	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
10	14	245	1	SimpleIdentifier	int	LOCAL_VARIABLE:f.c	1	c
11	7	255	8	IsExpression	bool	-	0	t is int
11	7	255	1	SimpleIdentifier	T	PARAMETER:f.t	0	t
12	13	279	1	SimpleIdentifier	T & int	PARAMETER:f.t	0	t
13	5	286	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/d)
13	5	286	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
13	16	297	1	SimpleIdentifier	T & int	LOCAL_VARIABLE:f.d	1	d
16	3	316	5	AssignmentExpression	int	LOCAL_VARIABLE:f.e	0	e = 2
16	3	316	1	SimpleIdentifier	-	LOCAL_VARIABLE:f.e	0	e
16	7	320	1	IntegerLiteral	int	-	0	2
17	3	325	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/e)
17	3	325	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
17	14	336	1	SimpleIdentifier	int	LOCAL_VARIABLE:f.e	1	e
20	10	352	11	FunctionExpression	void Function()	-	0	() => f(1);
20	16	358	4	MethodInvocation	void	FUNCTION:f	0	f(1)
20	16	358	1	SimpleIdentifier	void Function<T>(T)	FUNCTION:f	0	f
20	18	360	1	IntegerLiteral	int	-	0	1
