# 06_fluxo/flu09_try.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
3	7	125	8	FunctionExpression	int? Function()	-	0	() => 1;
3	13	131	1	IntegerLiteral	int	-	0	1
4	7	140	301	FunctionExpression	void Function(int?, int?)	-	0	(int? x, int? y) { if (x == null || y == null) return; t
5	7	165	22	BinaryExpression	bool	-	0	x == null || y == null
5	7	165	9	BinaryExpression	bool	METHOD:num.==	0	x == null
5	7	165	1	SimpleIdentifier	int?	PARAMETER:f.x	0	x
5	12	170	4	NullLiteral	Null	-	0	null
5	20	178	9	BinaryExpression	bool	METHOD:num.==	0	y == null
5	20	178	1	SimpleIdentifier	int?	PARAMETER:f.y	0	y
5	25	183	4	NullLiteral	Null	-	0	null
7	5	209	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/x)
7	5	209	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
7	16	220	1	SimpleIdentifier	int	PARAMETER:f.x	1	x
8	5	228	7	AssignmentExpression	int?	PARAMETER:f.y	0	y = g()
8	5	228	1	SimpleIdentifier	-	PARAMETER:f.y	0	y
8	9	232	3	MethodInvocation	int?	FUNCTION:g	0	g()
8	9	232	1	SimpleIdentifier	int? Function()	FUNCTION:g	0	g
10	5	257	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/x)
10	5	257	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
10	16	268	1	SimpleIdentifier	int	PARAMETER:f.x	1	x
11	5	276	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/y)
11	5	276	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
11	16	287	1	SimpleIdentifier	int?	PARAMETER:f.y	1	y
12	5	295	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/e)
12	5	295	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
12	16	306	1	SimpleIdentifier	Object	LOCAL_VARIABLE:f.e	1	e
14	5	328	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/y)
14	5	328	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
14	16	339	1	SimpleIdentifier	int?	PARAMETER:f.y	1	y
17	5	359	8	MethodInvocation	void	FUNCTION:print	0	print(0)
17	5	359	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
17	11	365	1	IntegerLiteral	int	-	0	0
19	5	411	23	MethodInvocation	void	FUNCTION:print	0	print([/*@*/e, /*@*/s])
19	5	411	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
19	11	417	16	ListLiteral	List<Object>	-	0	[/*@*/e, /*@*/s]
19	17	423	1	SimpleIdentifier	FormatException	LOCAL_VARIABLE:f.e	1	e
19	25	431	1	SimpleIdentifier	StackTrace	LOCAL_VARIABLE:f.s	1	s
23	10	452	14	FunctionExpression	void Function()	-	0	() => f(1, 2);
23	16	458	7	MethodInvocation	void	FUNCTION:f	0	f(1, 2)
23	16	458	1	SimpleIdentifier	void Function(int?, int?)	FUNCTION:f	0	f
23	18	460	1	IntegerLiteral	int	-	0	1
23	21	463	1	IntegerLiteral	int	-	0	2
