# 06_fluxo/flu11_switch_rotulos.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	7	71	372	FunctionExpression	void Function(int?, int, List<int>)	-	0	(int? x, int k, List<int> l) { switch (k) { case 0:
3	11	112	1	SimpleIdentifier	int	PARAMETER:f.k	0	k
4	10	126	1	IntegerLiteral	int	-	0	0
5	11	139	9	BinaryExpression	bool	METHOD:num.==	0	x == null
5	11	139	1	SimpleIdentifier	int?	PARAMETER:f.x	0	x
5	16	144	4	NullLiteral	Null	-	0	null
6	7	164	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/x)
6	7	164	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
6	18	175	1	SimpleIdentifier	int	PARAMETER:f.x	1	x
7	10	188	1	IntegerLiteral	int	-	0	1
8	7	197	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/x)
8	7	197	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
8	18	208	1	SimpleIdentifier	int?	PARAMETER:f.x	1	x
10	3	218	4	SimpleIdentifier	-	LABEL:f.fora	0	fora
11	17	240	1	SimpleIdentifier	List<int>	PARAMETER:f.l	0	l
12	19	263	1	SimpleIdentifier	List<int>	PARAMETER:f.l	0	l
13	11	278	9	BinaryExpression	bool	METHOD:num.==	0	x == null
13	11	278	1	SimpleIdentifier	int?	PARAMETER:f.x	0	x
13	16	283	4	NullLiteral	Null	-	0	null
13	28	295	4	SimpleIdentifier	-	LABEL:f.fora	0	fora
14	7	307	21	MethodInvocation	void	FUNCTION:print	0	print([i, j, /*@*/x])
14	7	307	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
14	13	313	14	ListLiteral	List<int>	-	0	[i, j, /*@*/x]
14	14	314	1	SimpleIdentifier	int	LOCAL_VARIABLE:f.i	0	i
14	17	317	1	SimpleIdentifier	int	LOCAL_VARIABLE:f.j	0	j
14	25	325	1	SimpleIdentifier	int	PARAMETER:f.x	1	x
17	7	346	6	BinaryExpression	bool	METHOD:num.==	0	k == 0
17	7	346	1	SimpleIdentifier	int	PARAMETER:f.k	0	k
17	12	351	1	IntegerLiteral	int	-	0	0
18	9	364	9	BinaryExpression	bool	METHOD:num.==	0	x == null
18	9	364	1	SimpleIdentifier	int?	PARAMETER:f.x	0	x
18	14	369	4	NullLiteral	Null	-	0	null
20	9	402	9	BinaryExpression	bool	METHOD:num.==	0	x == null
20	9	402	1	SimpleIdentifier	int?	PARAMETER:f.x	0	x
20	14	407	4	NullLiteral	Null	-	0	null
22	3	427	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/x)
22	3	427	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
22	14	438	1	SimpleIdentifier	int	PARAMETER:f.x	1	x
25	10	454	18	FunctionExpression	void Function()	-	0	() => f(1, 0, []);
25	16	460	11	MethodInvocation	void	FUNCTION:f	0	f(1, 0, [])
25	16	460	1	SimpleIdentifier	void Function(int?, int, List<int>)	FUNCTION:f	0	f
25	18	462	1	IntegerLiteral	int	-	0	1
25	21	465	1	IntegerLiteral	int	-	0	0
25	24	468	2	ListLiteral	List<int>	-	0	[]
