# 06_fluxo/flu14_padroes.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	7	83	232	FunctionExpression	void Function(Object, int?)	-	0	(Object o, int? x) { if (o case int i) print([/*@*/i, /*@*
3	7	110	1	SimpleIdentifier	Object	PARAMETER:f.o	0	o
3	21	124	23	MethodInvocation	void	FUNCTION:print	0	print([/*@*/i, /*@*/o])
3	21	124	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
3	27	130	16	ListLiteral	List<int>	-	0	[/*@*/i, /*@*/o]
3	33	136	1	SimpleIdentifier	int	LOCAL_VARIABLE:f.i	1	i
3	41	144	1	SimpleIdentifier	int	PARAMETER:f.o	1	o
4	7	155	1	SimpleIdentifier	int?	PARAMETER:f.x	0	x
4	22	170	23	MethodInvocation	void	FUNCTION:print	0	print([/*@*/v, /*@*/x])
4	22	170	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
4	28	176	16	ListLiteral	List<int>	-	0	[/*@*/v, /*@*/x]
4	34	182	1	SimpleIdentifier	int	LOCAL_VARIABLE:f.v	1	v
4	42	190	1	SimpleIdentifier	int	PARAMETER:f.x	1	x
5	11	205	1	SimpleIdentifier	Object	PARAMETER:f.o	0	o
7	7	235	23	MethodInvocation	void	FUNCTION:print	0	print([/*@*/s, /*@*/o])
7	7	235	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
7	13	241	16	ListLiteral	List<String>	-	0	[/*@*/s, /*@*/o]
7	19	247	1	SimpleIdentifier	String	LOCAL_VARIABLE:f.s	1	s
7	27	255	1	SimpleIdentifier	String	PARAMETER:f.o	1	o
10	7	283	1	SimpleIdentifier	int?	PARAMETER:f.x	0	x
10	17	293	4	NullLiteral	Null	-	0	null
10	23	299	13	MethodInvocation	void	FUNCTION:print	0	print(/*@*/x)
10	23	299	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
10	34	310	1	SimpleIdentifier	int	PARAMETER:f.x	1	x
13	10	326	16	FunctionExpression	void Function()	-	0	() => f('a', 1);
13	16	332	9	MethodInvocation	void	FUNCTION:f	0	f('a', 1)
13	16	332	1	SimpleIdentifier	void Function(Object, int?)	FUNCTION:f	0	f
13	18	334	3	SimpleStringLiteral	String	-	0	'a'
13	23	339	1	IntegerLiteral	int	-	0	1
