# 07_membros/mem03_dynamic_never.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
3	12	122	14	FunctionExpression	Never Function()	-	0	() => throw 0;
3	18	128	7	ThrowExpression	Never	-	0	throw 0
3	24	134	1	IntegerLiteral	int	-	0	0
4	7	143	184	FunctionExpression	void Function(dynamic, bool)	-	0	(dynamic d, bool b) { print([/*@*/d.foo(), /*@*/d.toString
5	3	167	125	MethodInvocation	void	FUNCTION:print	0	print([/*@*/d.foo(), /*@*/d.toString(), /*@*/d.hashCode, /*@
5	3	167	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
5	9	173	118	ListLiteral	List<dynamic>	-	0	[/*@*/d.foo(), /*@*/d.toString(), /*@*/d.hashCode, /*@*/d.ru
5	15	179	7	MethodInvocation	dynamic	-	1	d.foo()
5	15	179	1	SimpleIdentifier	dynamic	PARAMETER:f.d	1	d
5	17	181	3	SimpleIdentifier	dynamic	-	0	foo
5	29	193	12	MethodInvocation	String	METHOD:Object.toString	1	d.toString()
5	29	193	1	SimpleIdentifier	dynamic	PARAMETER:f.d	1	d
5	31	195	8	SimpleIdentifier	String Function()	METHOD:Object.toString	0	toString
5	48	212	10	PrefixedIdentifier	int	GETTER:Object.hashCode	1	d.hashCode
5	48	212	1	SimpleIdentifier	dynamic	PARAMETER:f.d	1	d
5	50	214	8	SimpleIdentifier	int	GETTER:Object.hashCode	0	hashCode
5	65	229	13	PrefixedIdentifier	Type	GETTER:Object.runtimeType	1	d.runtimeType
5	65	229	1	SimpleIdentifier	dynamic	PARAMETER:f.d	1	d
5	67	231	11	SimpleIdentifier	Type	GETTER:Object.runtimeType	0	runtimeType
5	85	249	5	PrefixedIdentifier	dynamic	-	1	d.bar
5	85	249	1	SimpleIdentifier	dynamic	PARAMETER:f.d	1	d
5	87	251	3	SimpleIdentifier	dynamic	-	0	bar
5	97	261	4	IndexExpression	dynamic	-	1	d[0]
5	97	261	1	SimpleIdentifier	dynamic	PARAMETER:f.d	1	d
5	99	263	1	IntegerLiteral	int	-	0	0
5	108	272	5	BinaryExpression	dynamic	-	1	d + 1
5	108	272	1	SimpleIdentifier	dynamic	PARAMETER:f.d	1	d
5	112	276	1	IntegerLiteral	int	-	0	1
5	120	284	6	BinaryExpression	bool	METHOD:Object.==	1	d == 1
5	120	284	1	SimpleIdentifier	dynamic	PARAMETER:f.d	1	d
5	125	289	1	IntegerLiteral	int	-	0	1
6	7	300	1	SimpleIdentifier	bool	PARAMETER:f.b	0	b
6	10	303	21	MethodInvocation	void	FUNCTION:print	0	print(/*@*/falha().x)
6	10	303	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
6	21	314	9	PropertyAccess	InvalidType	-	1	falha().x
6	21	314	7	MethodInvocation	Never	FUNCTION:falha	1	falha()
6	21	314	5	SimpleIdentifier	Never Function()	FUNCTION:falha	1	falha
6	29	322	1	SimpleIdentifier	InvalidType	-	0	x
9	10	338	18	FunctionExpression	void Function()	-	0	() => f(1, false);
9	16	344	11	MethodInvocation	void	FUNCTION:f	0	f(1, false)
9	16	344	1	SimpleIdentifier	void Function(dynamic, bool)	FUNCTION:f	0	f
9	18	346	1	IntegerLiteral	int	-	0	1
9	21	349	5	BooleanLiteral	bool	-	0	false
