# 07_membros/mem06_tearoff_generico.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
3	5	135	14	FunctionExpression	T Function<T>(T)	-	0	<T>(T x) => x;
3	17	147	1	SimpleIdentifier	T	PARAMETER:id.x	0	x
6	3	166	1	SimpleIdentifier	-	CLASS:C	0	C
7	3	173	1	SimpleIdentifier	-	CLASS:C	0	C
10	10	198	238	FunctionExpression	void Function()	-	0	() { int Function(int) f = /*@*/id; var g = /*@*/id<Stri
11	30	232	2	FunctionReference	int Function(int)	-	1	id
11	30	232	2	SimpleIdentifier	T Function<T>(T)	FUNCTION:id	1	id
12	16	251	10	FunctionReference	String Function(String)	-	1	id<String>
12	16	251	2	SimpleIdentifier	T Function<T>(T)	FUNCTION:id	1	id
13	16	278	2	SimpleIdentifier	T Function<T>(T)	FUNCTION:id	1	id
14	16	297	5	ConstructorReference	C<T> Function<T>()	-	1	C.new
14	18	299	3	SimpleIdentifier	-	CONSTRUCTOR:C.	0	new
15	16	319	14	ConstructorReference	C<int> Function()	-	1	C<int>.nomeado
15	23	326	7	SimpleIdentifier	-	CONSTRUCTOR:C.nomeado	0	nomeado
16	30	364	5	ConstructorReference	C<num> Function()	-	1	C.new
16	32	366	3	SimpleIdentifier	-	CONSTRUCTOR:C.	0	new
17	16	386	15	FunctionReference	Iterable<String> Function(String Function(int))	-	1	[1].map<String>
17	16	386	7	PropertyAccess	Iterable<T> Function<T>(T Function(int))	METHOD:Iterable.map	1	[1].map
17	16	386	3	ListLiteral	List<int>	-	1	[1]
17	17	387	1	IntegerLiteral	int	-	0	1
17	20	390	3	SimpleIdentifier	Iterable<T> Function<T>(T Function(int))	METHOD:Iterable.map	0	map
18	3	405	28	MethodInvocation	void	FUNCTION:print	0	print([f, g, h, k, l, m, n])
18	3	405	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
18	9	411	21	ListLiteral	List<Function>	-	0	[f, g, h, k, l, m, n]
18	10	412	1	SimpleIdentifier	int Function(int)	LOCAL_VARIABLE:main.f	0	f
18	13	415	1	SimpleIdentifier	String Function(String)	LOCAL_VARIABLE:main.g	0	g
18	16	418	1	SimpleIdentifier	T Function<T>(T)	LOCAL_VARIABLE:main.h	0	h
18	19	421	1	SimpleIdentifier	C<T> Function<T>()	LOCAL_VARIABLE:main.k	0	k
18	22	424	1	SimpleIdentifier	C<int> Function()	LOCAL_VARIABLE:main.l	0	l
18	25	427	1	SimpleIdentifier	C<num> Function()	LOCAL_VARIABLE:main.m	0	m
18	28	430	1	SimpleIdentifier	Iterable<String> Function(String Function(int))	LOCAL_VARIABLE:main.n	0	n
