# 09_null_safety/nul02_se_nulo.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	7	54	123	FunctionExpression	void Function(int?, double, String?, num?)	-	0	(int? a, double b, String? s, num? n) { print([/*@*/a ?? b
3	3	96	78	MethodInvocation	void	FUNCTION:print	0	print([/*@*/a ?? b, /*@*/a ?? null, /*@*/s ?? 'x', /*@*/n ??
3	3	96	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
3	9	102	71	ListLiteral	List<Object?>	-	0	[/*@*/a ?? b, /*@*/a ?? null, /*@*/s ?? 'x', /*@*/n ??= 1, /
3	15	108	6	BinaryExpression	num	-	1	a ?? b
3	15	108	1	SimpleIdentifier	int?	PARAMETER:f.a	1	a
3	20	113	1	SimpleIdentifier	double	PARAMETER:f.b	0	b
3	28	121	9	BinaryExpression	int?	-	1	a ?? null
3	28	121	1	SimpleIdentifier	int?	PARAMETER:f.a	1	a
3	33	126	4	NullLiteral	Null	-	0	null
3	44	137	8	BinaryExpression	String	-	1	s ?? 'x'
3	44	137	1	SimpleIdentifier	String?	PARAMETER:f.s	1	s
3	49	142	3	SimpleStringLiteral	String	-	0	'x'
3	59	152	7	AssignmentExpression	num	PARAMETER:f.n	1	n ??= 1
3	59	152	1	SimpleIdentifier	-	PARAMETER:f.n	1	n
3	65	158	1	IntegerLiteral	int	-	0	1
3	73	166	6	BinaryExpression	int?	-	1	a ?? a
3	73	166	1	SimpleIdentifier	int?	PARAMETER:f.a	1	a
3	78	171	1	SimpleIdentifier	int?	PARAMETER:f.a	0	a
6	10	188	21	FunctionExpression	void Function()	-	0	() => f(1, 2, '', 3);
6	16	194	14	MethodInvocation	void	FUNCTION:f	0	f(1, 2, '', 3)
6	16	194	1	SimpleIdentifier	void Function(int?, double, String?, num?)	FUNCTION:f	0	f
6	18	196	1	IntegerLiteral	int	-	0	1
6	21	199	1	IntegerLiteral	double	-	0	2
6	24	202	2	SimpleStringLiteral	String	-	0	''
6	28	206	1	IntegerLiteral	int	-	0	3
