# 10_padroes/pad02_esquema_contexto.dart — gravado pelo oráculo (package:analyzer 6.11.0, Dart 3.6.2)
# linha	coluna	offset	comprimento	nó	tipo	elemento	marca	trecho
2	10	74	139	FunctionExpression	void Function()	-	0	() { var (double a, b) = (/*@*/1, /*@*/2); final [double
3	23	101	16	RecordLiteral	(double, int)	-	0	(/*@*/1, /*@*/2)
3	29	107	1	IntegerLiteral	double	-	1	1
3	37	115	1	IntegerLiteral	int	-	1	2
4	27	145	3	ListLiteral	List<double>	-	1	[1]
4	28	146	1	IntegerLiteral	double	-	0	1
5	29	178	6	RecordLiteral	(int, int)	-	1	(1, 2)
5	30	179	1	IntegerLiteral	int	-	0	1
5	33	182	1	IntegerLiteral	int	-	0	2
6	3	188	22	MethodInvocation	void	FUNCTION:print	0	print([a, b, x, c, d])
6	3	188	5	SimpleIdentifier	void Function(Object?)	FUNCTION:print	0	print
6	9	194	15	ListLiteral	List<num>	-	0	[a, b, x, c, d]
6	10	195	1	SimpleIdentifier	double	LOCAL_VARIABLE:main.a	0	a
6	13	198	1	SimpleIdentifier	int	LOCAL_VARIABLE:main.b	0	b
6	16	201	1	SimpleIdentifier	double	LOCAL_VARIABLE:main.x	0	x
6	19	204	1	SimpleIdentifier	num	LOCAL_VARIABLE:main.c	0	c
6	22	207	1	SimpleIdentifier	int	LOCAL_VARIABLE:main.d	0	d
